"Major","Course ID","Course Name","Credits","Prerequisites","Course Description","Detailed Course Prerequisite","Key Words"
"Mathematics","MATH 403","Introduction to Modern Algebra","3","MATH 402","Elementary theory of groups: basic examples of finite and infinite groups, symmetric and alternating groups, dihedral groups, subgroups, normal subgroups, quotient groups, isomorphism theorems, finite abelian groups. Additional topics including Sylow theorems, group actions, congugacy classes and counting techniques may be covered. Course overlaps with: MATH 411; MATH 412; and STMATH 402. ","a minimum grade of 2.0 in MATH 402. ","Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 404","Introduction to Modern Algebra","3","MATH 403","Topics in algebra chosen from Galois theory, theory of modules, geometric group actions, and the theory of rings and fields. Specific content determined by instructor. ","minimum grade of 2.0 in MATH 403.","Algebra & Abstract Algebra, Topology & Geometry, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 407","Linear Optimization","3","MATH 136, MATH 208, AMATH 352","Maximization and minimization of linear functions subject to constraints consisting of linear equations and inequalities; linear programming and mathematical modeling. Simplex method, elementary games and duality.","a minimum grade of 2.0 in either MATH 136, MATH 208, MATH 308, or AMATH 352. ","Optimization, Mathematical Modeling, Control Systems & Optimization"
"Mathematics","MATH 408","Nonlinear Optimization","3","MATH 407, MATH 464, MATH 327, MATH 334","Maximization and minimization of nonlinear functions, constrained and unconstrained; nonlinear programming problems and methods. Lagrange multipliers; Kuhn-Tucker conditions, convexity. Quadratic programming.","minimum grade of 2.0 in MATH 407 or MATH 464; minimum grade of 2.0 in either MATH 327 or MATH 334. ","Optimization, Control Systems & Optimization, Differential Equations & Dynamical Systems"
"Mathematics","MATH 409","Discrete Optimization","3","MATH 407, MATH 300, MATH 334","Maximization and minimization problems in graphs and networks (shortest paths, minimum spanning trees, maximum flows, minimum cost flows); transportation and trans-shipment problems, NP-completeness.","minimum grade of 2.0 in MATH 407; and either a minimum grade of 2.0 in MATH 300, or a minimum grade of 2.0 in MATH 334.","Discrete Mathematics & Graph Theory, Optimization, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 411","Introduction to Modern Algebra with Applications I ","3","MATH 136, MATH 208","Basic concepts of abstract algebra with an emphasis on problem solving, constructing proofs, and communication of mathematical ideas. Course overlaps with: MATH 402 and MATH 403. ","a minimum grade of 2.0 in either MATH 136 or MATH 208.","Algebra & Abstract Algebra, Computer-Aided Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 412","Introduction to Modern Algebra with Applications II","3","MATH 411","Basic concepts of abstract algebra with an emphasis on problem solving, constructing proofs, and communication of mathematical ideas. Course overlaps with: MATH 402 and MATH 403. ","a minimum grade of 2.0 in MATH 411.","Algebra & Abstract Algebra, Computer-Aided Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 420","History of Mathematics","3","MATH 126, MATH 136","Survey of the development of mathematics from its earliest beginnings through the first half of the twentieth century. Course overlaps with: STMATH 420. ","minimum grade of 2.0 in either MATH 126 or MATH 136.","Mathematics Education & Career Development, Computer-Aided Mathematics, Mathematical Biology"
"Mathematics","MATH 424","Fundamental Concepts of Analysis","3","MATH 327","Focuses on functions of a real variable, including limits of functions, differentiation, Rolle's theorem, mean value theorems, Taylor's theorem, and the intermediate value theorem for derivatives. Riemann-Stieltjes integrals, change of variable, Fundamental Theorem of Calculus, and integration by parts. Sequences and series of functions, uniform convergence, and power series. Course overlaps with: STMATH 424 and STMATH 425.","either a minimum grade of 2.0 in MATH 327, or a minimum grade of 2.0 in MATH 335. ","Complex Analysis & Complex Variables, Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 425","Fundamental Concepts of Analysis","3","MATH 136, MATH 208, MATH 424","Introduction to metric spaces and multivariable differential calculus: Euclidean spaces, abstract metric spaces, compactness, Bolzano-Weierstrass property, sequences and their limits, Cauchy sequences and completeness, Heine-Borel Theorem, continuity, uniform continuity, connected sets and the intermediate value theorem. Derivatives of functions of several variables, chain rule, mean value theorem, inverse and implicit function theorems. Course overlaps with: STMATH 425. ","a minimum grade of 2.0 in either MATH 136 or MATH 208; and a minimum grade of 2.0 in either MATH 335 or MATH 424. ","Topology & Geometry, Differential Equations & Dynamical Systems, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 426","Fundamental Concepts of Analysis ","3","MATH 425","Lebesgue measure on the reals. Construction of the Lebesgue integral and its basic properties. Monotone Convergence Theorem, Fatou's Lemma, and Dominated Convergence Theorem. Integration of series. Continuity and differentiability theorems for functions defined by integrals. Introduction to general measures and integration. ","minimum grade of 2.0 in MATH 425.","Analysis & Real Analysis, Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 427","Complex Analysis","3","MATH 327","Complex numbers; analytic functions; sequences and series; complex integration; Cauchy integral formula; Taylor and Laurent series; uniform convergence; residue theory; conformal mapping. Topics chosen from: Fourier series and integrals, Laplace transforms, infinite products, complex dynamics; additional topics chose by instructor. Course overlaps with: STMATH 427 and TMATH 427. ","minimum grade of 2.0 in either MATH 327 or MATH 335. ","Complex Analysis & Complex Variables, Combinatorics & Discrete Mathematics, Numerical Analysis"
"Mathematics","MATH 428","Complex Analysis","3","MATH 427, MATH 336","Continuation of MATH 427. ","either minimum grade of 2.0 in MATH 427 or MATH 336 ","Complex Analysis & Complex Variables, Numerical Analysis, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 441","Topology ","3","MATH 327","Metric and topological spaces, convergence, continuity, finite products, connectedness, and compactness. Course overlaps with: STMATH 441. ","minimum grade of 2.0 in either MATH 327 or MATH 335.","Topology & Geometry, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 442","Differential Geometry","3","MATH 334, MATH 208, MATH 224, MATH 441","Examines curves in the plane and 3-spaces, surfaces in 3-space, tangent planes, first and second fundamental forms, curvature, the Gauss-Bonnet Theorem, and possible other selected topics. ","either minimum grade of 2.0 in MATH 334, or a minimum grade of 2.0 in MATH 208 and a minimum grade of 2.0 in MATH 224; and minimum grade of 2.0 in MATH 441. ","Topology & Geometry, Combinatorics & Discrete Mathematics, Differential Equations & Dynamical Systems"
"Mathematics","MATH 443","Differential Geometry","3","MATH 442","Further examines curves in the plane and 3-spaces, surfaces in 3-space, tangent planes, first and second fundamental forms, curvature, the Gauss-Bonnet Theorem, and possible other selected topics. ","minimum grade of 2.0 in MATH 442. ","Topology & Geometry, Combinatorics & Discrete Mathematics, Differential Equations & Dynamical Systems"
"Mathematics","MATH 444","Introduction to Geometries I ","3","MATH 334, MATH 208, MATH 300","Concepts of geometry from multiple approaches; discovery, formal and informal reasoning, transformations, coordinates, exploration using computers and models. Topics selected from Euclidean plane and space geometry, spherical geometry, non-Euclidean geometries, fractal geometry. Course overlaps with: STMATH 444. ","either a minimum grade of 2.0 in MATH 334, or a minimum grade of 2.0 in MATH 208 and MATH 300.","Topology & Geometry, Computer-Aided Mathematics, Mathematical Biology"
"Mathematics","MATH 445","Introduction to Geometries II","3","MATH 444","Concepts of geometry from multiple approaches; discovery, formal and informal reasoning, transformations, coordinates, exploration using computers and models. Topics selected from Euclidean plane and space geometry, spherical geometry, non-Euclidean geometries, fractal geometry. ","a minimum grade of 2.0 in MATH 444.","Topology & Geometry, Mathematical Biology, Computer-Aided Mathematics"
"Mathematics","MATH 461","Combinatorial Theory I","3","MATH 334, MATH 300, MATH 136, MATH 208","Basic counting techniques and combinatorial objects. Topics may include permutations, sets, multisets, compositions, partitions, graphs, generating functions, the inclusion-exclusion principle, bijective proofs, and recursions.","a minimum grade of 2.0 in MATH 334, or a minimum grade of 2.0 in MATH 300 and a minimum grade of 2.0 in either MATH 136 or MATH 208.","Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory, Computer-Aided Mathematics"
"Mathematics","MATH 462","Combinatorial Theory II ","3","MATH 461, CSE 421","Structural theorems and methods in combinatorics, including those from extremal combinatorics and probabilistic combinatorics. Topics may include graphs, trees, posets, strategic games, polytopes, Ramsey theory, and matroids. ","minimum grade of 2.0 in MATH 461 or CSE 421.","Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory, Topology & Geometry"
"Mathematics","MATH 464","Numerical Analysis I","3","MATH 136, MATH 208","Basic principles of numerical analysis, classical interpolation and approximation formulas, finite differences and difference equations. Numerical methods in algebra, systems of linear equations, matrix inversion, successive approximations, iterative and relaxation methods. Numerical differentiation and integration. Solution of differential equations and systems of such equations. ","a minimum grade of 2.0 in either MATH 136, MATH 208, or MATH 335. ","Numerical Analysis, Differential Equations & Dynamical Systems, Mathematical Modeling"
"Mathematics","MATH 465","Numerical Analysis II","3","MATH 464","Basic principles of numerical analysis, classical interpolation and approximation formulas, finite differences and difference equations. Numerical methods in algebra, systems of linear equations, matrix inversion, successive approximations, iterative and relaxation methods. Numerical differentiation and integration. Solution of differential equations and systems of such equations. ","minimum grade of 2.0 in MATH 464. ","Numerical Analysis, Differential Equations & Dynamical Systems, Computer-Aided Mathematics"
"Mathematics","MATH 491","Introduction to Stochastic Processes","3","MATH 394, MATH 395, MATH 396","Random walks, Markov chains, branching processes, Poisson process, point processes, birth and death processes, queuing theory, stationary processes. ","a minimum grade of 2.0 in either MATH 394/STAT 394 or STAT 340; and a minimum grade of 2.0 in either STAT 395/MATH 395 or MATH 396/STAT 396. Offered: jointly with STAT 491; ","Probability & Stochastic Processes, Combinatorics & Discrete Mathematics, Mathematical Modeling"
"Mathematics","MATH 492","Introduction to Stochastic Processes II","3","MATH 491","Introduces elementary continuous-time discrete/continuous-state stochastic processes and their applications. Covers useful classes of continuous-time stochastic processes (e.g., Poisson process, renewal processes, birth and birth-and-death processes, Brownian motion, diffusion processes, and geometric Brownian motion) and shows how useful they are for solving problems of practical interest. ","a minimum grade of 2.0 in MATH 491/STAT 491. ","Probability & Stochastic Processes, Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 493","Stochastic Calculus for Option Pricing","3","MATH 395","Introductory stochastic calculus mathematical foundation for pricing options and derivatives. Basic stochastic analysis tools, including stochastic integrals, stochastic differential equations, Ito's formula, theorems of Girsanov and Feynman-Kac, Black-Scholes option pricing, American and exotic options, bond options. Course overlaps with: CFRM 450. ","minimum grade of 2.0 in either STAT 395/MATH 395, or a minimum grade of 2.0 in STAT 340 and STAT 341. ","Probability & Stochastic Processes, Differential Equations & Dynamical Systems, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 504","Modern Algebra","5","MATH 404","First quarter of a three-quarter sequence covering group theory; field theory and Galois theory; commutative rings and modules, linear algebra, theory of forms; representation theory, associative rings and modules; commutative algebra and elementary algebraic geometry. ","MATH 404 or equivalent","Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics, Topology & Geometry"
"Mathematics","MATH 505","Modern Algebra","5","MATH 504","Continuation of MATH 504.","MATH 504","Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics, Computer-Aided Mathematics"
"Mathematics","MATH 506","Modern Algebra","5","MATH 505","Continuation of MATH 505.","MATH 505","Algebra & Abstract Algebra, Topology & Geometry, Computer-Aided Mathematics"
"Mathematics","MATH 507","Algebraic Structures","3","MATH 506","First quarter of a three-quarter sequence covering homological algebra, advanced commutative algebra, and Lie algebras and representation theory. Specific topics include chain complexes, resolutions and derived functors, dimension theory, Cohen-Macaulay modules, Gorenstein rings, local cohomology, local duality, triangulated and derived categories, group cohomology, and structure and representation.","MATH 506 or equivalent","Topology & Geometry, Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 508","Algebraic Structures","3","MATH 506","Second quarter of a three-quarter sequence covering homological algebra, advanced commutative algebra, and Lie algebras and representation theory. Specific topics include chain complexes, resolutions and derived functors, dimension theory, Cohen-Macaulay modules, Gorenstein rings, local cohomology, local duality, triangulated and derived categories, group cohomology, and structure and representation.","MATH 506","Topology & Geometry, Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 509","Algebraic Structures","3","MATH 506","Third quarter of a three-quarter sequence covering homological algebra, advanced commutative algebra, and Lie algebras and representation theory. Specific topics include chain complexes, resolutions and derived functors, dimension theory, Cohen-Macaulay modules, Gorenstein rings, local cohomology, local duality, triangulated and derived categories, group cohomology, and structure and representation.","MATH 506","Topology & Geometry, Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 514","Networks and Combinatorial Optimization","3","MATH 208, AMATH 352","Mathematical foundations of combinatorial and network optimization with an emphasis on structure and algorithms with proofs. Topics include combinatorial and geometric methods for optimization of network flows, matching, traveling salesmen problem, cuts, and stable sets on graphs. Special emphasis on connections to linear and integer programming, duality theory, total unimodularity, and matroids. ","either MATH 208 or AMATH 352; and any additional 400-level MATH course.","Optimization, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 515","Optimization: Fundamentals and Applications","5","","Maximization and minimization of functions of finitely many variables subject to constraints. Basic problem types and examples of applications; linear, convex, smooth, and nonsmooth programming. Optimality conditions. Saddlepoints and dual problems. Penalties, decomposition. Overview of computational approaches. ","Proficiency in linear algebra and advanced calculus/analysis; recommended: Strongly recommended: probability and statistics. Desirable: optimization, e.g. Math 408, and scientific programming experience in Matlab, Julia or Python.","Optimization, Control Systems & Optimization, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 516","Numerical Optimization","3","","Methods of solving optimization problems in finitely many variables, with or without constraints. Steepest descent, quasi-Newton methods. Quadratic programming and complementarity. Exact penalty methods, multiplier methods. Sequential quadratic programming. Cutting planes and nonsmooth optimization.","","Optimization, Control Systems & Optimization, Numerical Analysis"
"Mathematics","MATH 518","Theory of Optimal Control","3","MATH 426, MATH 515","Trajectories from ordinary differential equations with control variables. Controllability, optimality, maximum principle. Relaxation and existence of solutions. Techniques of nonsmooth analysis.","real analysis on the level of MATH 426; background in optimization corresponding to MATH 515. ","Control Systems & Optimization, Differential Equations & Dynamical Systems, Optimization"
"Mathematics","MATH 521","Advanced Probability","3","MATH 426, MATH 576","Measure theory and integration, independence, laws of large numbers. Fourier analysis of distributions, central limit problem and infinitely divisible laws, conditional expectations, martingales. ","either MATH 426 or MATH 576. ","Combinatorics & Discrete Mathematics, Probability & Stochastic Processes, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 522","Advanced Probability","3","MATH 426, MATH 576","Measure theory and integration, independence, laws of large numbers. Fourier analysis of distributions, central limit problem and infinitely divisible laws, conditional expectations, martingales. ","either MATH 426 or MATH 576. ","Combinatorics & Discrete Mathematics, Probability & Stochastic Processes, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 523","Advanced Probability","3","MATH 426, MATH 576","Measure theory and integration, independence, laws of large numbers. Fourier analysis of distributions, central limit problem and infinitely divisible laws, conditional expectations, martingales. ","either MATH 426 or MATH 576. ","Combinatorics & Discrete Mathematics, Probability & Stochastic Processes, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 524","Real Analysis","5","MATH 426","First quarter of a three-quarter sequence covering the theory of measure and integration, point set topology, Banach spaces, Lp spaces, applications to the theory of functions of one and several real variables. Additional topics to be chosen by instructor. ","MATH 426 or equivalent.","Analysis & Real Analysis, Topology & Geometry, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 525","Real Analysis","5","MATH 524","Continuation of MATH 524","MATH 524","Analysis & Real Analysis, Numerical Analysis, Mathematical Modeling"
"Mathematics","MATH 526","Real Analysis","5","MATH 525","Continuation of MATH 525","MATH 525","Analysis & Real Analysis, Numerical Analysis, Computer-Aided Mathematics"
"Mathematics","MATH 527","Functional Analysis","3","","First of three-quarter sequence. Review of Banach, Hilbert, and Lp spaces; locally convex spaces (duality and separation theory, distributions, and function spaces); operators on locally convex spaces (adjoints, closed graph/open mapping and Banach-Steinhaus theorems); Banach algebras (spectral theory, elementary applications); spectral theorem for Hilbert space operators. Working knowledge of real variables, general topology, complex variables.","","Combinatorics & Discrete Mathematics, Topology & Geometry, Mathematical Biology"
"Mathematics","MATH 528","Functional Analysis","3","MATH 527","Continuation of MATH 527","MATH 527","Numerical Analysis, Mathematical Biology, Mathematical Modeling"
"Mathematics","MATH 529","Functional Analysis","3","MATH 528","Continuation of MATH 528","MATH 528","Numerical Analysis, Mathematical Biology, Optimization"
"Mathematics","MATH 534","Complex Analysis","5","MATH 426","First quarter of a three-quarter sequence covering complex numbers, analytic functions, contour integration, power series, analytic continuation, sequences of analytic functions, conformal mapping of simply connected regions, and related topics. ","MATH 426","Complex Analysis & Complex Variables, Numerical Analysis, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 535","Complex Analysis","5","MATH 534","Continuation of MATH 534","MATH 534","Complex Analysis & Complex Variables, Numerical Analysis, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 536","Complex Analysis","5","MATH 535","Continuation of MATH 535","MATH 535","Complex Analysis & Complex Variables, Numerical Analysis, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 544","Topology and Geometry of Manifolds ","5","MATH 404, MATH 426","First quarter of a three-quarter sequence covering general topology, the fundamental group, covering spaces, topological and differentiable manifolds, vector fields, flows, the Frobenius theorem, Lie groups, homogeneous spaces, tensor fields, differential forms, Stokes's theorem, deRham cohomology. ","MATH 404 and MATH 426 or equivalent.","Topology & Geometry, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 545","Topology and Geometry of Manifolds ","5","MATH 544","Continuation of MATH 544","MATH 544","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 546","Topology and Geometry of Manifolds ","5","MATH 545","Continuation of MATH 545","MATH 545","Topology & Geometry, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 547","Geometric Structures","3","MATH 546","First quarter of a three-quarter sequence covering differential-geometric structures on manifolds, Riemannian metrics, geodesics, covariant differentiation, curvature, Jacobi fields, Gauss-Bonnet theorem. Additional topics to be chosen by the instructor, such as connections in vector bundles and principal bundles, symplectic geometry, Riemannian comparison theorems, symmetric spaces, complex manifolds, Hodge theory. ","MATH 546","Topology & Geometry, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 548","Geometric Structures","3","MATH 547","Continuation of MATH 547","MATH 547","Topology & Geometry, Mathematical Biology, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 549","Geometric Structures","3","MATH 548","Continuation of MATH 548","MATH 548","Topology & Geometry, Mathematical Biology, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 554","Linear Analysis ","5","MATH 426, MATH 427","First quarter of a three-quarter sequence covering advanced linear algebra and matrix analysis, ordinary differential equations (existence and uniqueness theory, linear systems, numerical approximations), Fourier analysis, introductions to functional analysis and partial differential equations, distribution theory. ","MATH 426 and familiarity with complex analysis at the level of MATH 427","Numerical Analysis, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 555","Linear Analysis ","5","MATH 554","Continuation of MATH 554","MATH 554","Numerical Analysis, Mathematical Modeling, Computer-Aided Mathematics"
"Mathematics","MATH 556","Linear Analysis ","5","MATH 555","Continuation of MATH 555","MATH 555","Numerical Analysis, Mathematical Modeling, Computer-Aided Mathematics"
"Mathematics","MATH 557","Introduction to Partial Differential Equations","3","MATH 526, MATH 556","First quarter of a three-quarter sequence. Reviews the theory of distribution theory, weak derivatives, and Fourier transform; Laplace, heat, wave, Schrodinger equations; and notion of Euler-Lagrange equation and variational derivative. ","MATH 526 or MATH 556","Differential Equations & Dynamical Systems, Numerical Analysis, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 558","Introduction to Partial Differential Equations","3","MATH 557","Continuation of MATH 557. Covers Sobolev spaces; boundary value problems; additional topics may include: Cauchy-Kowalevski theorem, first order equations, initial value problems, and variational methods. ","MATH 557","Differential Equations & Dynamical Systems, Numerical Analysis, Computer-Aided Mathematics"
"Mathematics","MATH 559","Introduction to Partial Differential Equations","3","MATH 558","Continuation of MATH 558. Covers selected topics such as: introduction to microlocal analysis, Lax parametrix construction, Schauder estimates, Calderon-Zygmund theory, energy methods, and boundary regularity on rough domains. ","MATH 558","Numerical Analysis, Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 561","Foundations of Combinatorics","3","MATH 504","First quarter of a three-quarter sequence on combinatorics, covering topics selected from among enumeration, generating functions, ordered structures, graph theory, algebraic combinatorics, geometric combinatorics, and extremal and probabilistic combinatorics. ","familiarity with linear algebra, discrete probability, and MATH 504, 505, 506, which may be taken concurrently.","Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory, Topology & Geometry"
"Mathematics","MATH 562","Foundations of Combinatorics","3","MATH 561","Second quarter of a three-quarter sequence on combinatorics, covering topics selected from among enumeration, generating functions, ordered structures, graph theory, algebraic combinatorics, geometric combinatorics, and extremal and probabilistic combinatorics. ","MATH 561","Combinatorics & Discrete Mathematics, Topology & Geometry, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 563","Foundations of Combinatorics","3","MATH 562","Third quarter of a three-quarter sequence on combinatorics, covering topics selected from among enumeration, generating functions, ordered structures, graph theory, algebraic combinatorics, geometric combinatorics, and extremal and probabilistic combinatorics. ","MATH 562","Combinatorics & Discrete Mathematics, Topology & Geometry, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 564","Algebraic Topology","3","MATH 506, MATH 544","First quarter of a three-quarter sequence covering classical and modern approaches; complexes and their homology theory; applications; fixed points, products and Poincare duality; axiomatic approach.","MATH 506 and MATH 544, or equivalent.","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 565","Algebraic Topology","3","MATH 564","Continuation of MATH 564.","MATH 564","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 566","Algebraic Topology","3","MATH 565","Continuation of MATH 565.","MATH 565","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 567","Algebraic Geometry","3","MATH 506","First quarter of a three-quarter sequence covering the basic theory of affine and projective varieties, rings of functions, the Hilbert Nullstellensatz, localization, and dimension; the theory of algebraic curves, divisors, cohomology, genus, and the Riemann-Roch theorem; and related topics. ","MATH 506","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 568","Algebraic Geometry","3","MATH 567","Continuation of MATH 567","MATH 567","Topology & Geometry, Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 569","Algebraic Geometry","3","MATH 568","Continuation of MATH 568","MATH 568","Topology & Geometry, Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 574","Fundamental Concepts of Analysis","3","","Sets, real numbers, topology of metric spaces, normed linear spaces, multivariable calculus from an advanced viewpoint. Introduction to Lebesque measure and integration. Intended for students in biostatistics and related fields; does not fulfill requirements for degrees in mathematics.","","Mathematical Biology, Topology & Geometry, Analysis & Real Analysis"
"Mathematics","MATH 575","Fundamental Concepts of Analysis","3","","Sets, real numbers, topology of metric spaces, normed linear spaces, multivariable calculus from an advanced viewpoint. Introduction to Lebesque measure and integration. Intended for students in biostatistics and related fields; does not fulfill requirements for degrees in mathematics","","Mathematical Biology, Topology & Geometry, Analysis & Real Analysis"
"Mathematics","MATH 576","Fundamental Concepts of Analysis","3","","Sets, real numbers, topology of metric spaces, normed linear spaces, multivariable calculus from an advanced viewpoint. Introduction to Lebesque measure and integration. Intended for students in biostatistics and related fields; does not fulfill requirements for degrees in mathematics","","Mathematical Biology, Topology & Geometry, Analysis & Real Analysis"
"Mathematics","MATH 584","Numerical Linear Algebra","5","","Singular value decomposition. QR factorization and linear least squares problems. Conditioning of problems and stability of algorithms. LU (lower-upper) factorization. Eigenvalue problems. Iterative methods for solving linear systems of equations. ","either a course in linear algebra or permission of instructor.","Numerical Analysis, Differential Equations & Dynamical Systems, Complex Analysis & Complex Variables"
"Mathematics","MATH 585","Numerical Analysis","5","AMATH 352, AMATH 481, AMATH 581, AMATH 584, MATH 584, AMATH 584, MATH 584","Iterative methods for solving nonlinear systems of equations. Numerical approximation and interpolation. Fast Fourier transform. Operator spectrum approximation. Numerical differentiation and integration. Numerical methods for ordinary differential equations. ","either AMATH 352 (or equivalent), AMATH 481 (or equivalent), AMATH 581, AMATH 584/MATH 584, or permission of instructor; recommended: AMATH 584/MATH 584. ","Numerical Analysis, Differential Equations & Dynamical Systems, Optimization"
"Mathematics","MATH 586","Numerical Methods for Partial Differential Equations","5","AMATH 352, AMATH 481, AMATH 569, AMATH 581, AMATH 584, MATH 584, AMATH 585, MATH 585","Method of lines discretization. Initial and boundary value problems, including finite difference methods and spectral methods. Elliptic, parabolic, hyperbolic and dispersive equations. Stability, accuracy, and convergence theory.","either AMATH 352 (or equivalent), AMATH 481 (or equivalent), AMATH 569 (which may be taken concurrently), AMATH 581, AMATH 584/MATH 584, AMATH 585/MATH 585, or permission of instructor;","Numerical Analysis, Differential Equations & Dynamical Systems, Discrete Mathematics & Graph Theory"
"Electrical and Computer Engineering","E E 201","Computer Hardware Skills","2","CSE 122, CSE 123, CSE 142, CSE 143","Lab-based course focused on a wide range of basic hands-on skills for electrical and computer engineers. Provides an overview of topic areas and career paths in electrical and computer engineering. Topics include introduction to physical circuit building, microcontroller programming, proportional-integral-derivative design, soldering, circuit simulation, 3D design and printing, printed circuit board control, and sensors.","CSE 122, CSE 123, CSE 142, or CSE 143, any of which may be taken concurrently ","Computer Hardware & Architecture, Mathematics Education & Career Development, Computer-Aided Mathematics"
"Electrical and Computer Engineering","E E 205","Introduction to Signal Conditioning","4","MATH 126, MATH 136","Introduces analog circuits interfacing sensors to digital systems. /includes connection, attenuation, amplification, sampling, filtering, termination, controls, Kirchhoff's Laws, sources, resistors, op amps, capacitors, inductors, PSice, and MATLAB. Intended for non-EE majors.","MATH 126 or MATH 136; and either PHYS 122 or PHYS 142","Signal Processing & Communication, Bioengineering & Neural Engineering, Embedded & Real-Time Systems"
"Electrical and Computer Engineering","E E 215","Fundamentals of Electrical Engineering","4","MATH 136, MATH 126, MATH 207, AMATH 351","Introduces analog circuits interfacing sensors to digital systems. /includes connection, attenuation, amplification, sampling, filtering, termination, controls, Kirchhoff's Laws, sources, resistors, op amps, capacitors, inductors, PSice, and MATLAB. Intended for non-EE majors","either MATH 136, or MATH 126 and either MATH 207, MATH 307, or AMATH 351, any of which may be taken concurrently; and either PHYS 122 or PHYS 142.","Power Systems & Energy Engineering, Computer Hardware & Architecture, Bioengineering & Neural Engineering"
"Electrical and Computer Engineering","E E 233","Circuit Theory","5","E E 215","Electric circuit theory. Analysis of circuits with sinusoidal signals. Phasors, system functions, and complex frequency. Frequency response. Computer analysis of electrical circuits. Power and energy. Two port network theory. Laboratory in basic electrical engineering topics","E E 215.","Numerical Analysis, Power Systems & Energy Engineering, Computer Hardware & Architecture"
"Electrical and Computer Engineering","E E 241","Programming for Signal and Information Processing Applications","2","CSE 122, CSE 123, CSE 142, CSE 143, CSE 160","Introduction to programming for signal and information processing. Basic syntax and data types. Packages for data manipulation and visualization. Handling a variety of data formats","either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160.","Signal Processing & Communication, Data Science & Data Engineering, Computation & Scientific Computing"
